feature,importance
time_completed_was_imputed,0.27499305155872095
time_completed,0.1371584774217706
total_spent,0.07634172404156803
time_viewed,0.07275066480845134
received_not_viewed,0.06934478741393024
was_viewed,0.05399600166728027
time_viewed_was_imputed,0.05176612083586578
spend_per_transaction,0.039184086761589174
avg_transaction_value,0.038034467469668765
spend_per_membership_day,0.02412189272915066
time_received,0.02163480901455784
transaction_count,0.01921836773363999
days_since_registration,0.01889288109401321
membership_duration_months,0.017630872701451857
income,0.012941202748442977
age,0.012151716415812345
channel_count,0.009793933792790666
has_social_channel,0.006314093789365842
channel_social,0.00596198516806357
difficulty_per_day,0.0052054491832811325
reward_per_day,0.004491547713115269
reward,0.004135930139340905
net_value_score,0.0036800033774027963
gender_missing_before_fill,0.002649233747623219
difficulty,0.002487218191259189
age_missing_before_impute,0.0024552656428785194
reward_to_difficulty,0.0021566090683300125
age_was_118,0.0020961914104208664
duration,0.0017220181374255302
income_missing_before_impute,0.0015092175340175012
offer_type_discount,0.0013515025646715201
offer_type_bogo,0.0011375089780603972
channel_mobile,0.0010061616500885993
has_mobile_channel,0.0007577069942934513
has_web_channel,0.000465890033094364
channel_web,0.00046140846856268974
offer_type_informational,0.0
channel_email,0.0
has_email_channel,0.0
